Strain,Food_Treatment,Rep,Days_To_Pupation,Num_Pupae,Num_Adults,Cum_Pupae
mol,X.low,3,4,0,0,0
pip,X.low,3,4,0,0,0
mol,Low,3,4,0,0,0
pip,Low,3,4,0,0,0
mol,Medium,3,4,0,0,0
pip,Medium,3,4,1,0,1
mol,High,3,4,0,0,0
pip,High,3,4,4,0,4
mol,X.low,3,5,0,0,0
pip,X.low,3,5,0,0,0
mol,Low,3,5,0,0,0
pip,Low,3,5,9,0,9
mol,Medium,3,5,4,0,4
pip,Medium,3,5,20,0,21
mol,High,3,5,9,0,9
pip,High,3,5,38,0,42
mol,X.low,3,6,0,0,0
pip,X.low,3,6,2,0,2
mol,Low,3,6,17,0,17
pip,Low,3,6,22,0,31
mol,Medium,3,6,29,0,33
pip,Medium,3,6,26,0,47
mol,High,3,6,37,0,46
pip,High,3,6,10,0,52
mol,X.low,3,7,1,0,1
pip,X.low,3,7,4,0,6
mol,Low,3,7,13,0,30
pip,Low,3,7,8,0,39
mol,Medium,3,7,13,0,46
pip,Medium,3,7,2,0,49
mol,High,3,7,4,0,50
pip,High,3,7,2,0,54
mol,X.low,3,8,0,0,1
pip,X.low,3,8,3,0,9
mol,Low,3,8,3,0,33
pip,Low,3,8,5,0,44
mol,Medium,3,8,7,0,53
pip,Medium,3,8,4,0,53
mol,High,3,8,2,0,52
pip,High,3,8,0,0,54
mol,X.low,3,9,9,0,10
pip,X.low,3,9,22,0,31
mol,Low,3,9,15,0,48
pip,Low,3,9,9,0,53
mol,Medium,3,9,3,0,56
pip,Medium,3,9,4,0,57
mol,High,3,9,4,0,56
pip,High,3,9,1,0,55
mol,X.low,3,10,3,0,13
pip,X.low,3,10,0,0,31
mol,Low,3,10,2,0,50
pip,Low,3,10,1,0,54
mol,Medium,3,10,0,0,56
pip,Medium,3,10,0,0,57
mol,High,3,10,0,0,56
pip,High,3,10,0,0,55
mol,X.low,3,11,12,0,25
pip,X.low,3,11,12,0,43
mol,Low,3,11,1,0,51
pip,Low,3,11,1,0,55
mol,Medium,3,11,0,0,56
pip,Medium,3,11,0,0,57
mol,High,3,11,0,0,56
pip,High,3,11,0,0,55
mol,X.low,3,12,2,0,27
pip,X.low,3,12,6,0,49
mol,Low,3,12,0,0,51
pip,Low,3,12,0,0,55
mol,Medium,3,12,0,0,56
pip,Medium,3,12,0,0,57
mol,High,3,12,0,0,56
pip,High,3,12,0,0,55
mol,X.low,3,13,11,0,38
pip,X.low,3,13,2,0,51
mol,Low,3,13,0,0,51
pip,Low,3,13,0,0,55
mol,Medium,3,13,0,0,56
pip,Medium,3,13,0,0,57
mol,High,3,13,0,0,56
pip,High,3,13,0,0,55
mol,X.low,3,14,8,0,46
pip,X.low,3,14,0,0,51
mol,Low,3,14,0,0,51
pip,Low,3,14,0,0,55
mol,Medium,3,14,0,0,56
pip,Medium,3,14,0,0,57
mol,High,3,14,0,0,56
pip,High,3,14,0,0,55
mol,X.low,3,15,8,0,54
pip,X.low,3,15,0,0,51
mol,Low,3,15,0,0,51
pip,Low,3,15,0,0,55
mol,Medium,3,15,0,0,56
pip,Medium,3,15,0,0,57
mol,High,3,15,0,0,56
pip,High,3,15,0,0,55
mol,X.low,3,16,0,0,54
pip,X.low,3,16,0,0,51
mol,Low,3,16,0,0,51
pip,Low,3,16,0,0,55
mol,Medium,3,16,0,0,56
pip,Medium,3,16,0,0,57
mol,High,3,16,0,0,56
pip,High,3,16,0,0,55
