Strain,Treat,Ind,Date_Dissection,Num_Dev_Foll,Num_Eggs_Dep,Comb_Eggs_Per_Fem
mol,High,1,03/21/19,,,51
mol,High,2,03/21/19,,,41
mol,High,3,03/21/19,,,36
mol,High,4,03/21/19,,,57
mol,High,5,03/21/19,,,56
mol,High,6,03/21/19,,,58
mol,High,7,03/21/19,,,65
mol,High,8,03/21/19,,,55
mol,High,9,03/21/19,,,23
mol,High,10,03/21/19,,,44
mol,Medium,1,03/21/19,,,51
mol,Medium,2,03/21/19,,,45
mol,Medium,3,03/21/19,,,34
mol,Low,1,03/22/19,,,32
mol,Low,2,03/22/19,,,25
mol,Medium,4,03/22/19,,,45
mol,Medium,5,03/22/19,,,32
mol,Medium,6,03/22/19,,,45
mol,Medium,7,03/22/19,,,40
mol,Medium,8,03/22/19,,,38
mol,Medium,9,03/22/19,,,38
mol,Medium,10,03/22/19,,,0
mol,Medium,11,03/22/19,,,41
mol,Low,3,03/22/19,,,36
mol,Low,4,03/24/19,,,33
mol,Low,5,03/24/19,,,36
mol,Low,6,03/24/19,,,21
mol,Low,7,03/24/19,,,31
mol,Low,8,03/24/19,,,44
mol,Low,9,03/24/19,,,32
mol,Low,10,03/24/19,,,33
mol,Low,11,03/24/19,,,36
mol,Low,12,03/24/19,,,20
mol,Low,13,03/24/19,,,37
mol,High,11,03/24/19,,,0
mol,High,12,03/24/19,,,15
mol,High,13,03/24/19,,,25
mol,High,14,03/24/19,,,49
mol,High,15,03/24/19,,,51
mol,Medium,12,03/24/19,,,20
mol,Medium,13,03/24/19,,,47
mol,Medium,14,03/24/19,,,41
mol,Medium,15,03/24/19,,,50
mol,Medium,16,03/24/19,,,37
mol,Medium,17,03/24/19,,,36
mol,X.low,1,03/26/19,,,13
mol,X.low,2,03/26/19,,,0
mol,X.low,7,03/29/19,,,20
mol,X.low,8,03/29/19,,,16
mol,X.low,9,03/29/19,,,16
mol,X.low,10,03/29/19,,,17
mol,X.low,11,03/29/19,,,21
mol,X.low,12,03/29/19,,,20
mol,X.low,13,04/01/19,,,0
mol,X.low,14,04/01/19,,,10
mol,X.low,15,04/01/19,,,23
mol,X.low,16,04/01/19,,,13
mol,X.low,17,04/01/19,,,0
